season,years_of_service,minimum_salary,basis
2016-17,0,745703,derived_cap_proportional
2016-17,1,1200098,derived_cap_proportional
2016-17,2,1345258,derived_cap_proportional
2016-17,3,1393646,derived_cap_proportional
2016-17,4,1442034,derived_cap_proportional
2016-17,5,1563001,derived_cap_proportional
2016-17,6,1683971,derived_cap_proportional
2016-17,7,1804939,derived_cap_proportional
2016-17,8,1925908,derived_cap_proportional
2016-17,9,1935496,derived_cap_proportional
2016-17,10,2129046,derived_cap_proportional
2017-18,0,784911,derived_cap_proportional
2017-18,1,1263198,derived_cap_proportional
2017-18,2,1415991,derived_cap_proportional
2017-18,3,1466923,derived_cap_proportional
2017-18,4,1517855,derived_cap_proportional
2017-18,5,1645183,derived_cap_proportional
2017-18,6,1772513,derived_cap_proportional
2017-18,7,1899842,derived_cap_proportional
2017-18,8,2027172,derived_cap_proportional
2017-18,9,2037263,derived_cap_proportional
2017-18,10,2240990,derived_cap_proportional
2018-19,0,806900,derived_cap_proportional
2018-19,1,1298586,derived_cap_proportional
2018-19,2,1455659,derived_cap_proportional
2018-19,3,1508018,derived_cap_proportional
2018-19,4,1560376,derived_cap_proportional
2018-19,5,1691271,derived_cap_proportional
2018-19,6,1822169,derived_cap_proportional
2018-19,7,1953064,derived_cap_proportional
2018-19,8,2083961,derived_cap_proportional
2018-19,9,2094335,derived_cap_proportional
2018-19,10,2303769,derived_cap_proportional
2019-20,0,864493,derived_cap_proportional
2019-20,1,1391274,derived_cap_proportional
2019-20,2,1559558,derived_cap_proportional
2019-20,3,1615654,derived_cap_proportional
2019-20,4,1671750,derived_cap_proportional
2019-20,5,1811987,derived_cap_proportional
2019-20,6,1952228,derived_cap_proportional
2019-20,7,2092466,derived_cap_proportional
2019-20,8,2232706,derived_cap_proportional
2019-20,9,2243821,derived_cap_proportional
2019-20,10,2468203,derived_cap_proportional
2020-21,0,864493,derived_cap_proportional
2020-21,1,1391274,derived_cap_proportional
2020-21,2,1559558,derived_cap_proportional
2020-21,3,1615654,derived_cap_proportional
2020-21,4,1671750,derived_cap_proportional
2020-21,5,1811987,derived_cap_proportional
2020-21,6,1952228,derived_cap_proportional
2020-21,7,2092466,derived_cap_proportional
2020-21,8,2232706,derived_cap_proportional
2020-21,9,2243821,derived_cap_proportional
2020-21,10,2468203,derived_cap_proportional
2021-22,0,890427,derived_cap_proportional
2021-22,1,1433009,derived_cap_proportional
2021-22,2,1606342,derived_cap_proportional
2021-22,3,1664121,derived_cap_proportional
2021-22,4,1721899,derived_cap_proportional
2021-22,5,1866343,derived_cap_proportional
2021-22,6,2010791,derived_cap_proportional
2021-22,7,2155236,derived_cap_proportional
2021-22,8,2299683,derived_cap_proportional
2021-22,9,2311131,derived_cap_proportional
2021-22,10,2542245,derived_cap_proportional
2022-23,0,979466,verified
2022-23,1,1576305,verified
2022-23,2,1766970,verified
2022-23,3,1830527,verified
2022-23,4,1894083,verified
2022-23,5,2052971,verified
2022-23,6,2211863,verified
2022-23,7,2370752,verified
2022-23,8,2529643,verified
2022-23,9,2542236,verified
2022-23,10,2796460,verified
2023-24,0,1119563,derived_cap_proportional
2023-24,1,1801769,derived_cap_proportional
2023-24,2,2019706,derived_cap_proportional
2023-24,3,2092354,derived_cap_proportional
2023-24,4,2165001,derived_cap_proportional
2023-24,5,2346615,derived_cap_proportional
2023-24,6,2528234,derived_cap_proportional
2023-24,7,2709849,derived_cap_proportional
2023-24,8,2891467,derived_cap_proportional
2023-24,9,2905861,derived_cap_proportional
2023-24,10,3196448,derived_cap_proportional
2024-25,0,1157153,verified
2024-25,1,1862265,verified
2024-25,2,2087519,verified
2024-25,3,2162606,verified
2024-25,4,2237692,verified_shape
2024-25,5,2425404,verified_shape
2024-25,6,2613121,verified_shape
2024-25,7,2800834,verified_shape
2024-25,8,2988550,verified_shape
2024-25,9,3003427,verified_shape
2024-25,10,3303771,verified
